Institution,Country,AC,FC
"Canadian Light Source Inc.",Canada,42,5.9648055128996
"National Sun Yat-Sen University (NSYSU)",Taiwan,33,5.9590330277401
"Medical University of Graz (Med Uni Graz)",Austria,35,5.9567161269299
"ALBA Synchrotron",Spain,45,5.9557893903482
"Anyang Normal University",China,12,5.9446428571429
"Jining University (JNXY)",China,7,5.9444444444444
"French Research Institute for Exploitation of the Sea (Ifremer)",France,80,5.9339012507279
"Dow Inc.","United States of America (USA)",31,5.9102519795797
"Hunan University of Science and Technology (HNUST)",China,28,5.903253609136
"Nagasaki University",Japan,24,5.8939405484687
"Brock University",Canada,17,5.8909164640789
"Center of Advanced European Studies and Research (CAESAR)",Germany,21,5.8828257058372
"Miguel Hernández University of Elche (UMH)",Spain,24,5.8734532318011
"Northwell Health","United States of America (USA)",31,5.8728366601302
"Bayer AG",Germany,29,5.8649634857432
"University of Hyogo",Japan,22,5.8592296436398
"Doshisha University",Japan,16,5.8563672438672
"University of South Dakota (USD)","United States of America (USA)",16,5.8541350932105
"University of the Republic (UDELAR)",Uruguay,14,5.8479232479232
"North University of China (NUC)",China,14,5.8362665112665
"non-affiliated author contributions","United States of America (USA)",41,5.8262281116761
"National University of Science and Technology (MISIS)",Russia,74,5.8261863793366
"C. H. Boehringer Sohn AG & Co. KG (Boehringer Ingelheim)",Germany,22,5.8243935023598
"Hubei Normal University (HBNU)",China,15,5.8108813700919
"Loyola University Chicago (LUC)","United States of America (USA)",19,5.7985719400348
"Nagoya City University",Japan,32,5.7951172592683
"Chengdu University of Technology (CDUT)",China,20,5.7889030974709
"Swedish Museum of Natural History",Sweden,38,5.7815311666816
"Singapore Health Services Pte. Ltd. (SingHealth)",Singapore,64,5.7652455990429
"Chengdu University (CDU)",China,14,5.7587037037037
"Liaoning Normal University (LNNU)",China,26,5.7486158098337
"Cambridge University Hospitals NHS Foundation Trust","United Kingdom (UK)",103,5.7403891056621
"Dongguk University","South Korea",27,5.7302924379191
"Tiangong University (TGU)",China,20,5.7220455198396
"King Juan Carlos University (URJC)",Spain,21,5.7085177970648
"Bulgarian Academy of Sciences (BAS)",Bulgaria,107,5.6955181987312
"Centre for Cooperative Research in Biomaterials (CIC biomaGUNE)",Spain,30,5.6872799337429
"Birkbeck, University of London (BBK)","United Kingdom (UK)",47,5.6821994575218
"National Chung Cheng University (CCU)",Taiwan,12,5.6791666666667
"Western Sydney University",Australia,41,5.6739298623981
"Institute Gustave-Roussy (IGR)",France,64,5.6736040137657
"Rosario National University (UNR)",Argentina,27,5.6703875825222
"University of Burgundy",France,53,5.6379898692875
"Ibaraki University",Japan,20,5.6293552036199
"University of Neuchâtel (UniNE)",Switzerland,19,5.6237399053189
"Visva-Bharati University",India,44,5.6037167188219
AgroParisTech,France,130,5.5942052528998
"Chinese Academy of Fishery Sciences (CAFS)",China,152,5.5934731690914
"University of Eastern Piedmont ""Amedeo Avogadro"" (UNIPMN)",Italy,132,5.5859620860086
"University of A Coruña (UDC)",Spain,19,5.5826511437909
"SUNY Downstate Health Sciences University (SUNY Downstate)","United States of America (USA)",25,5.5692642725326
"Juntendo University",Japan,25,5.5620605077892
"Macau University of Science and Technology (MUST)",China,43,5.556337196079
"Federico Santa María Technical University (UTFSM)",Chile,78,5.55485459842
"University of Arkansas for Medical Sciences (UAMS)","United States of America (USA)",21,5.5503612819365
"Wetsus Centre of Excellence for Sustainable Water Technology",Netherlands,14,5.514880952381
"Joint Genome Institute (JGI)","United States of America (USA)",36,5.4996488366458
"China National Chemical Corporation (ChemChina)",China,21,5.4951388888889
"IFP Energies Nouvelles (IFPEN)",France,11,5.475
"National Health Research Institutes (NHRI)",Taiwan,20,5.4575116444293
"British Geological Survey (BGS)","United Kingdom (UK)",36,5.4454046702208
"Toho University",Japan,26,5.4429227883063
"Comenius University in Bratislava (UK)",Slovakia,89,5.4254873152414
"Center for Scientific Studies (CECs)",Chile,13,5.4069444444444
"Chinese Research Academy of Environmental Sciences (CRAES)",China,21,5.3908957872193
"Royal College of Surgeons in Ireland (RCSI)",Ireland,46,5.3882037765069
"University of Puerto Rico (UPR)","United States of America (USA)",97,5.3850932586271
"Swiss Federal Institute for Forest, Snow and Landscape Research (WSL)",Switzerland,35,5.3850306593605
"Korea Polar Research Institute (KOPRI)","South Korea",18,5.3831925281925
"Institute of Microbial Chemistry (IMC)",Japan,7,5.3806818181818
"Portland State University (PSU)","United States of America (USA)",19,5.3796164110635
"University of Poitiers",France,27,5.3742899279084
"University of North Dakota (UND)","United States of America (USA)",41,5.3666939055906
"Gachon University (GCU)","South Korea",22,5.3622245293889
"University of Catania",Italy,128,5.3514614548912
"University of Eastern Finland (UEF)",Finland,64,5.3513616143471
"The Catholic University of Korea","South Korea",20,5.3373162465554
"Worcester Polytechnic Institute (WPI)","United States of America (USA)",15,5.330525030525
"Santa Fe Institute (SFI)","United States of America (USA)",51,5.3091399604867
"University of Johannesburg (UJ)","South Africa",83,5.2992904955728
"Southern Cross University (SCU)",Australia,19,5.297905982906
"Birla Institute of Technology and Science (BITS Pilani)",India,13,5.2956349206349
"ChangChun University of Science and Technology (CUST)",China,18,5.2935876623377
"Sharif University of Technology (SUT)",Iran,15,5.2924534600837
"University of Ferrara (UNIFE)",Italy,74,5.2703800483047
"Ferdowsi University of Mashhad (FUM)",Iran,9,5.2694444444444
"Shenzhen Polytechnic (SZPT)",China,19,5.2639880952381
"Federal University of Espírito Santo (UFES)",Brazil,11,5.2550442311312
"Ionis Pharmaceuticals, Inc.","United States of America (USA)",20,5.2326948163635
"China Aerospace Science and Technology Corporation (CASC)",China,36,5.21461790199
"Clarkson University","United States of America (USA)",14,5.2135281385281
"Federal University of Pernambuco (UFPE)",Brazil,18,5.2054451366951
"Anhui Medical University (AHMU)",China,36,5.2010672676241
"Basque Research and Technology Alliance (BRTA)",Spain,31,5.1848890757161
"Telethon Foundation",Italy,25,5.1813837397067
"University of Szeged (SZTE)",Hungary,28,5.1722241570037
"Ritsumeikan University",Japan,25,5.1664363414363
"Czech Technical University in Prague (CTU)","Czech Republic",95,5.156770949958
"Korea Astronomy and Space Science Institute (KASI)","South Korea",42,5.1560583248936
"Dublin Institute for Advanced Studies (DIAS)",Ireland,27,5.1512672253023
"New York State Department of Health (NYSDOH)","United States of America (USA)",36,5.1347107609605
"Ligue Contre Le Cancer",France,42,5.1130802337783
"Kyushu Institute of Technology (Kyutech)",Japan,15,5.1091064491064
"National Institute of Water and Atmospheric Research Ltd. (NIWA)","New Zealand",47,5.1071593850105
"Shahid Bahonar University of Kerman (SBUK)",Iran,8,5.0777777777778
"National Institute of Chemistry, Slovenia",Slovenia,17,5.0613089524854
"The Kitasato Institute",Japan,29,5.0398291911354
"Nazarbayev University (NU)",Kazakhstan,18,5.03917166436
"University of Castilla-La Mancha (UCLM)",Spain,48,5.0313115560032
"Academy of Athens",Greece,24,5.0264116731222
"Yeungnam University","South Korea",11,5.0197191697192
"University of Stavanger (UiS)",Norway,14,5.0166666666667
"Harbin University of Science and Technology",China,9,5.0091325341325
"University of Calcutta (CU)",India,13,4.9885056978285
"University of Ioannina (UOI)",Greece,85,4.9817818108618
"Takeda Pharmaceutical Company Limited",Japan,22,4.9782202955327
"NHS Lothian","United Kingdom (UK)",91,4.9709911001226
"Swedish Institute of Space Physics (IRF)",Sweden,21,4.9660988684518
"Spintronics Research Network of Japan (Spin-RnJ)",Japan,71,4.9599018805269
"University of Wuppertal",Germany,67,4.9492797929699
"Taras Shevchenko National University of Kyiv",Ukraine,33,4.9388130140351
"Paris-Est Créteil University (UPEC)",France,59,4.9263154633312
"Xi'an University of Technology (XUT)",China,18,4.9247668997669
"Florey Institute of Neuroscience and Mental Health",Australia,37,4.9224000632405
"University of Zagreb",Croatia,57,4.9027354071111
"Austral University of Chile (UACh)",Chile,29,4.887648182714
"Linyi University (LYU)",China,17,4.8472582972583
"Canadian Institute for Advanced Research (CIFAR)",Canada,76,4.846181894972
"Warsaw University of Technology (WUT)",Poland,94,4.8439656581768
"Fukuoka University",Japan,16,4.8372863247863
"University of Namur (UNamur)",Belgium,17,4.8268476893477
"National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)",Russia,168,4.8130742675042
"University of Massachusetts Lowell (UMass Lowell)","United States of America (USA)",45,4.8099574491299
"University of Patras",Greece,22,4.8065022487363
"Linnaeus University (LNU)",Sweden,18,4.8013800767516
"Siksha O Anusandhan University (SOA)",India,5,4.8
"University of Denver","United States of America (USA)",35,4.7982231597995
"Illinois Institute of Technology (IIT)","United States of America (USA)",34,4.7875031126161
"South Dakota State University","United States of America (USA)",11,4.786479018058
"Union of the German Academies of Sciences and Humanities",Germany,73,4.7840814937154
"The University of Memphis (U of M)","United States of America (USA)",17,4.7804993035466
"Shanghai Ocean University (SHOU)",China,21,4.7703154788681
"Institute of Physics, Bhubaneswar",India,69,4.7642562215956
"University of Siena (UNISI)",Italy,101,4.7602108723019
"European Magnetic Field Laboratory (EMFL)",Germany,42,4.743824598604
"Thales S.A.",France,47,4.7425312090061
"National Yang-Ming University (NYMU)",Taiwan,26,4.6948067581149
"Ontario Institute for Cancer Research (OICR)",Canada,51,4.6931564132648
"Sofia University St. Kliment Ohridski",Bulgaria,74,4.6888256145294
"The Aerospace Corporation","United States of America (USA)",17,4.6871611721612
"Children's National Health System","United States of America (USA)",24,4.6850986022149
"Chung Yuan Christian University (CYCU)",Taiwan,20,4.6584096459096
"Federal University of Itajubá (UNIFEI)",Brazil,9,4.6435897435897
"Tottori University",Japan,16,4.6280929038282
"National Research University Higher School of Economics (HSE)",Russia,69,4.624724400977
"University of Angers",France,46,4.6151191384153
"Kawasaki Institute of Industry Promotion",Japan,10,4.6096054530265
"Chongqing University of Technology",China,9,4.6079365079365
"Ilmenau University of Technology (TU Ilmenau)",Germany,11,4.6075757575758
"Gilead Sciences, Inc.","United States of America (USA)",12,4.604641166073
"Chuo University",Japan,14,4.6033769918224
"Germany Federal Ministry of Health (BMG)",Germany,25,4.5972685204584
"Caen University (UNICAEN)",France,57,4.5881466706856
"Peoples Friendship University of Russia (PFUR)",Russia,22,4.5798821548822
"Catholic University of the Sacred Heart (UCSC)",Italy,27,4.5770973914607
"Shandong University of Science and Technology (SDUST)",China,30,4.5756349043114
"University of Santiago, Chile (Usach)",Chile,24,4.5614770040268
"University of Salento",Italy,71,4.5560715344003
"University of Valparaíso (UV)",Chile,26,4.5559486974202
"Phenikaa University",Vietnam,8,4.5532407407407
"Bishop's University",Canada,10,4.5431735836627
"Yerevan State University (YSU)",Armenia,133,4.5415735666563
"Western Michigan University (WMU)","United States of America (USA)",18,4.528030374551
"SRM Institute of Science and Technology",India,17,4.5012544148094
"National Agriculture and Food Research Organization (NARO)",Japan,19,4.4971605835614
"National Institute of Information and Communications Technology (NICT)",Japan,21,4.4842223748474
"Institut des Hautes Études Scientifiques (IHÉS)",France,91,4.4832422711087
"China National Petroleum Corporation (CNPC)",China,22,4.4760905760906
"University of Modena and Reggio Emilia (UNIMORE)",Italy,55,4.4751963586268
"Japan Advanced Institute of Science and Technology (JAIST)",Japan,14,4.4746082621083
"Henan University of Science and Technology",China,33,4.4696643756657
"Yancheng Institute of Technology (YCIT)",China,11,4.4668650793651
"Kochi University",Japan,23,4.4541616340966
"Geisinger Health System (GHS)","United States of America (USA)",16,4.4420983735523
"National Atomic Energy Commission (CNEA)",Argentina,31,4.4314651414517
"23andMe, Inc.","United States of America (USA)",16,4.4148250013835
"Donald Danforth Plant Science Center","United States of America (USA)",19,4.4136102972898
"Oakland University","United States of America (USA)",15,4.4106601731602
"COMSATS University Islamabad (CUI)",Pakistan,53,4.4058362169309
"Seoul National University of Science and Technology (SeoulTech)","South Korea",10,4.3976648351648
"Adolfo Ibáñez University (UAI)",Chile,14,4.3943036638159
"Shenyang Pharmaceutical University (SPU)",China,8,4.3909722222222
"Tamkang University (TKU)",Taiwan,24,4.3869111280876
"Center for Physical Sciences and Technology (FTMC)",Lithuania,13,4.371645021645
